landlord_models,landlord_up_models,landlord_down_models,ensemble_method,wp_landlord,wp_farmers,adp_landlord,adp_farmers
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3875,0.6125,-0.3866,0.3866
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4277,0.5723,-0.1976,0.1976
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.4419,0.5581,-0.2904,0.2904
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4207,0.5793,-0.2776,0.2776
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4105,0.5895,-0.3928,0.3928
baselines/sl/landlord.ckpt,perfectdou,baselines/douzero_ADP/landlord_down.ckpt,vote,0.2625,0.7375,-1.354,1.354
baselines/sl/landlord.ckpt,perfectdou,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2612,0.7388,-1.3192,1.3192
baselines/sl/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,vote,0.2776,0.7224,-1.1306,1.1306
baselines/sl/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2561,0.7439,-1.1496,1.1496
baselines/sl/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.278,0.722,-1.1486,1.1486
baselines/sl/landlord.ckpt,baselines/sl/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,vote,0.3696,0.6304,-0.7058,0.7058
baselines/sl/landlord.ckpt,baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3447,0.6553,-0.7556,0.7556
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.2683,0.7317,-1.132,1.132
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.2728,0.7272,-1.021,1.021
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2734,0.7266,-1.0522,1.0522
baselines/sl/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.364,0.636,-0.6558,0.6558
baselines/sl/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2898,0.7102,-1.122,1.122
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2542,0.7458,-1.2106,1.2106
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",perfectdou,baselines/douzero_ADP/landlord_down.ckpt,vote,0.4276,0.5724,-0.5554,0.5554
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",perfectdou,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4218,0.5782,-0.55,0.55
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,vote,0.4762,0.5238,-0.0128,0.0128
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3987,0.6013,-0.4924,0.4924
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4383,0.5617,-0.3774,0.3774
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/sl/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.4796,0.5204,-0.0118,0.0118
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4879,0.5121,0.0192,-0.0192
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.3997,0.6003,-0.4422,0.4422
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.4172,0.5828,-0.4146,0.4146
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.4168,0.5832,-0.318,0.318
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4487,0.5513,-0.2948,0.2948
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.4742,0.5258,-0.3028,0.3028
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4721,0.5279,-0.2816,0.2816
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.4405,0.5595,-0.468,0.468
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4317,0.5683,-0.4684,0.4684
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt",perfectdou,baselines/sl/landlord_down.ckpt,vote,0.4436,0.5564,-0.3016,0.3016
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt",perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3659,0.6341,-0.796,0.796
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,vote,0.4509,0.5491,-0.1616,0.1616
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3688,0.6312,-0.6692,0.6692
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4186,0.5814,-0.6318,0.6318
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/sl/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,vote,0.4942,0.5058,-0.1022,0.1022
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/sl/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4857,0.5143,-0.1076,0.1076
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.4101,0.5899,-0.5868,0.5868
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3794,0.6206,-0.6818,0.6818
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.4652,0.5348,-0.0978,0.0978
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3945,0.6055,-0.547,0.547
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.4201,0.5799,-0.5108,0.5108
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.3766,0.6234,-0.6636,0.6636
"baselines/douzero_WP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3809,0.6191,-0.6086,0.6086
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",perfectdou,baselines/douzero_WP/landlord_down.ckpt,vote,0.3285,0.6715,-0.706,0.706
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.338,0.662,-0.6716,0.6716
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,vote,0.3625,0.6375,-0.5886,0.5886
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3417,0.6583,-0.5148,0.5148
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.3631,0.6369,-0.5698,0.5698
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.3721,0.6279,-0.5938,0.5938
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/sl/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.4269,0.5731,-0.0976,0.0976
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4312,0.5688,-0.0934,0.0934
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.3766,0.6234,-0.5758,0.5758
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3729,0.6271,-0.5516,0.5516
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.3907,0.6093,-0.4474,0.4474
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3877,0.6123,-0.4388,0.4388
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.4618,0.5382,-0.0404,0.0404
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3781,0.6219,-0.5118,0.5118
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.4314,0.5686,-0.1538,0.1538
"baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3571,0.6429,-0.6098,0.6098
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.3932,0.6068,-0.4596,0.4596
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,perfectdou,vote,0.3755,0.6245,-0.4842,0.4842
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3917,0.6083,-0.3002,0.3002
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.4124,0.5876,-0.3302,0.3302
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.4197,0.5803,-0.3946,0.3946
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/sl/landlord_up.ckpt,perfectdou,vote,0.4593,0.5407,-0.0936,0.0936
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt",baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4843,0.5157,0.1392,-0.1392
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.3892,0.6108,-0.3246,0.3246
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4053,0.5947,-0.2738,0.2738
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",perfectdou,vote,0.4012,0.5988,-0.3788,0.3788
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4225,0.5775,-0.1532,0.1532
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.4301,0.5699,-0.218,0.218
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.4499,0.5501,-0.1952,0.1952
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",perfectdou,vote,0.386,0.614,-0.5384,0.5384
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt, baselines/sl/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4235,0.5765,-0.3734,0.3734
perfectdou,perfectdou,baselines/douzero_ADP/landlord_down.ckpt,average,0.4272,0.5728,-0.4178,0.4178
perfectdou,perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.4657,0.5343,-0.0422,0.0422
perfectdou,baselines/douzero_WP/landlord_up.ckpt,perfectdou,average,0.3851,0.6149,-0.4442,0.4442
perfectdou,baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.4707,0.5293,0.0662,-0.0662
perfectdou,baselines/douzero_ADP/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,average,0.4532,0.5468,-0.3636,0.3636
perfectdou,baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.5005,0.4995,0.0452,-0.0452
perfectdou,baselines/sl/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,average,0.534,0.466,0.2236,-0.2236
perfectdou,baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",average,0.5027,0.4973,0.0762,-0.0762
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",perfectdou,average,0.3907,0.6093,-0.5614,0.5614
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.4725,0.5275,-0.0762,0.0762
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,average,0.4798,0.5202,0.1184,-0.1184
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",average,0.4856,0.5144,-0.0194,0.0194
perfectdou,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",perfectdou,average,0.4714,0.5286,-0.0778,0.0778
perfectdou,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.5463,0.4537,0.407,-0.407
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,average,0.5039,0.4961,0.0114,-0.0114
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.524,0.476,0.2944,-0.2944
baselines/douzero_WP/landlord.ckpt,perfectdou,baselines/sl/landlord_down.ckpt,average,0.4909,0.5091,-0.127,0.127
baselines/douzero_WP/landlord.ckpt,perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.4699,0.5301,-0.264,0.264
baselines/douzero_WP/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,average,0.4979,0.5021,-0.004,0.004
baselines/douzero_WP/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.4844,0.5156,-0.0962,0.0962
baselines/douzero_WP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,average,0.4636,0.5364,-0.5322,0.5322
baselines/douzero_WP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.5128,0.4872,-0.0808,0.0808
baselines/douzero_WP/landlord.ckpt,baselines/sl/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,average,0.5012,0.4988,-0.0216,0.0216
baselines/douzero_WP/landlord.ckpt,baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",average,0.5061,0.4939,-0.1584,0.1584
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",perfectdou,average,0.405,0.595,-0.735,0.735
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.4874,0.5126,-0.222,0.222
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,average,0.5126,0.4874,-0.1496,0.1496
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.5422,0.4578,0.1834,-0.1834
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,average,0.4865,0.5135,-0.1472,0.1472
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",average,0.4874,0.5126,-0.301,0.301
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",perfectdou,average,0.4624,0.5376,-0.37,0.37
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.534,0.466,0.1162,-0.1162
baselines/douzero_ADP/landlord.ckpt,perfectdou,baselines/douzero_ADP/landlord_down.ckpt,average,0.3982,0.6018,-0.4894,0.4894
baselines/douzero_ADP/landlord.ckpt,perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.4367,0.5633,-0.1324,0.1324
baselines/douzero_ADP/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,average,0.3608,0.6392,-0.3738,0.3738
baselines/douzero_ADP/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",average,0.3652,0.6348,-0.5082,0.5082
baselines/douzero_ADP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,perfectdou,average,0.3909,0.6091,-0.519,0.519
baselines/douzero_ADP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",average,0.4681,0.5319,-0.0492,0.0492
